date,mev_unscaled,mev_monthly,isPartial,scale,mev
2019-07-18,81,40.0,,0.4,32.4
2019-07-19,0,40.0,,0.4,0.0
2019-07-20,53,40.0,,0.4,21.200000000000003
2019-07-21,0,55.0,False,0.55,0.0
2019-07-22,51,55.0,,0.55,28.05
2019-07-23,61,55.0,,0.55,33.550000000000004
2019-07-24,71,55.0,,0.55,39.050000000000004
2019-07-25,43,55.0,,0.55,23.650000000000002
2019-07-26,28,55.0,,0.55,15.400000000000002
2019-07-27,58,55.0,,0.55,31.900000000000002
2019-07-28,76,47.0,False,0.47,35.72
2019-07-29,58,47.0,,0.47,27.259999999999998
2019-07-30,34,47.0,,0.47,15.979999999999999
2019-07-31,51,47.0,,0.47,23.97
2019-08-01,29,47.0,,0.47,13.629999999999999
2019-08-02,43,47.0,,0.47,20.209999999999997
2019-08-03,0,47.0,,0.47,0.0
2019-08-04,21,43.0,False,0.43,9.03
2019-08-05,46,43.0,,0.43,19.78
2019-08-06,22,43.0,,0.43,9.459999999999999
2019-08-07,21,43.0,,0.43,9.03
2019-08-08,23,43.0,,0.43,9.89
2019-08-09,34,43.0,,0.43,14.62
2019-08-10,42,43.0,,0.43,18.06
2019-08-11,92,46.0,False,0.46,42.32
2019-08-12,0,46.0,,0.46,0.0
2019-08-13,39,46.0,,0.46,17.94
2019-08-14,50,46.0,,0.46,23.0
2019-08-15,0,46.0,,0.46,0.0
2019-08-16,16,46.0,,0.46,7.36
2019-08-17,0,46.0,,0.46,0.0
2019-08-18,0,29.0,False,0.29,0.0
2019-08-19,0,29.0,,0.29,0.0
2019-08-20,43,29.0,,0.29,12.469999999999999
2019-08-21,33,29.0,,0.29,9.569999999999999
2019-08-22,39,29.0,,0.29,11.309999999999999
2019-08-23,0,29.0,,0.29,0.0
2019-08-24,0,29.0,,0.29,0.0
2019-08-25,43,50.0,False,0.5,21.5
2019-08-26,100,50.0,,0.5,50.0
2019-08-27,56,50.0,,0.5,28.0
2019-08-28,39,50.0,,0.5,19.5
2019-08-29,34,50.0,,0.5,17.0
